ASSET_KEY,ASSET_GROUP,SERVICE_TIER,DOMAIN,RESOURCE_TYPE
snowflake/dbt/products/logistics__shipping_credit_usages,dbt__products__logistics,t3,PaymentsAndLogistics,snowflake
snowflake/dbt/products/loyalty_season_info,dbt__products__loyalty_season_info,t1,unset,snowflake
snowflake/dbt/products/margin_driver_hierarchy,dbt__products__margin_driver_hierarchy,t3,unset,snowflake
snowflake/dbt/products/marketing__on_platform_event_results,dbt__products__marketing__on_platform_event_results,t3,unset,snowflake
snowflake/dbt/products/marketplace__active_listings,dbt__products__marketplace,t2,Inventory,snowflake
snowflake/dbt/products/marketplace__active_live_listings,dbt__products__marketplace,t2,Inventory,snowflake
snowflake/dbt/products/marketplace__active_profile_listings,dbt__products__marketplace,t2,Inventory,snowflake
snowflake/dbt/products/marketplace__auction_listings,dbt__products__marketplace,t2,Marketplace,snowflake
snowflake/dbt/products/marketplace__base_bid_events,dbt__products__marketplace,t3,Analytics,snowflake
snowflake/dbt/products/marketplace__base_vs_events,dbt__products__marketplace,t3,Analytics,snowflake
