ASSET_KEY,ASSET_GROUP,SERVICE_TIER,DOMAIN,RESOURCE_TYPE
snowflake/dbt/products/seller_dash__stg_followers_by_day,dbt__products__seller_dashboard,t1,Growth,snowflake
snowflake/dbt/products/seller_dash__stg_metrics_by_day_date_spine,dbt__products__seller_dashboard,t1,Growth,snowflake
snowflake/dbt/products/seller_dash__stg_orders_buyer_seller_n,dbt__products__seller_dashboard,t1,Growth,snowflake
snowflake/dbt/products/seller_dash__stg_seller_ids,dbt__products__seller_dashboard,t1,Growth,snowflake
snowflake/dbt/products/seller_dash__user_referrals,dbt__products__seller_dashboard,t1,Growth,snowflake
snowflake/dbt/products/seller_first_whale_date,dbt__products__sales,t3,Analytics,snowflake
snowflake/dbt/products/seller_growth__churned_email_sellers_s3_unload,dbt__products__seller_growth,t3,Growth,snowflake
snowflake/dbt/products/seller_growth__enriched_seller_accounts,dbt__products__seller_growth,t2,Growth,snowflake
snowflake/dbt/products/seller_growth__enriched_seller_leads,dbt__products__seller_growth,t2,Growth,snowflake
snowflake/dbt/products/seller_growth__enriched_sellers,dbt__products__seller_growth,t2,Growth,snowflake
snowflake/dbt/products/seller_growth__high_value_buyers,dbt__products__seller_growth,t3,Analytics,snowflake
snowflake/dbt/products/seller_growth__hvis,dbt__products__seller_growth,t2,Growth,snowflake
snowflake/dbt/products/seller_growth__mbe_waitlist_applications,dbt__products__seller_growth,t3,DataPlatform,snowflake
snowflake/dbt/products/seller_growth__payout_eligibility,dbt__products__seller_growth,t3,Analytics,snowflake
snowflake/dbt/products/seller_growth__payout_verification,dbt__products__seller_growth,t3,Analytics,snowflake
snowflake/dbt/products/seller_growth__seller_day_metrics,dbt__products__seller_growth,t3,Analytics,snowflake
snowflake/dbt/products/seller_growth__seller_incentives_s3_unload,dbt__products__seller_growth,t3,Growth,snowflake
snowflake/dbt/products/seller_growth__seller_milestones,dbt__products__seller_growth,t3,Analytics,snowflake
snowflake/dbt/products/seller_growth__seller_onboarding,dbt__products__seller_growth,t3,Analytics,snowflake
snowflake/dbt/products/seller_growth__seller_referrals,dbt__products__seller_growth,t3,Analytics,snowflake
snowflake/dbt/products/seller_growth__stg_churned_email_sellers,dbt__products__seller_growth,t3,Growth,snowflake
snowflake/dbt/products/seller_growth__stg_incentive_eligible_sellers,dbt__products__seller_growth,t3,Growth,snowflake
snowflake/dbt/products/seller_growth__stg_seller_applications,dbt__products__seller_growth,t3,Analytics,snowflake
snowflake/dbt/products/seller_growth__stg_seller_onboarding_events,dbt__products__seller_growth,t3,Analytics,snowflake
snowflake/dbt/products/seller_growth__stg_seller_onboarding_steps,dbt__products__seller_growth,t3,Analytics,snowflake
snowflake/dbt/products/seller_growth__waitlist_applications,dbt__products__seller_growth,t3,Analytics,snowflake
snowflake/dbt/products/seller_tags__base_cancelled_orders,dbt__products__seller_tags,t3,Analytics,snowflake
snowflake/dbt/products/seller_tags__base_delayed_dropoffs,dbt__products__seller_tags,t3,Analytics,snowflake
snowflake/dbt/products/seller_tags__base_refund_orders,dbt__products__seller_tags,t3,Analytics,snowflake
snowflake/dbt/products/seller_tags__defect_rate_tag_history,dbt__products__seller_tags,t3,Analytics,snowflake
snowflake/dbt/products/seller_tags__delayed_dropoff_tag_history,dbt__products__seller_tags,t3,Analytics,snowflake
snowflake/dbt/products/seller_tags__non_quality_seller_tag_history,dbt__products__seller_tags,t3,Analytics,snowflake
snowflake/dbt/products/seller_tags__stg_defect_orders,dbt__products__seller_tags,t3,Analytics,snowflake
snowflake/dbt/products/seller_tags__stg_delayed_dropoff_orders,dbt__products__seller_tags,t3,Analytics,snowflake
snowflake/dbt/products/seller_tags__stg_seller_orders_day,dbt__products__seller_tags,t3,Analytics,snowflake
snowflake/dbt/products/seller_tags__tag_history,dbt__products__seller_tags,t3,Analytics,snowflake
snowflake/dbt/products/sharing__installs,dbt__products__sharing,t3,Analytics,snowflake
snowflake/dbt/products/sharing__link_lands,dbt__products__sharing,t3,Analytics,snowflake
snowflake/dbt/products/shippo_revenue_share,dbt__products__financial_accounting,t3,Analytics,snowflake
snowflake/dbt/products/similar_listings__embedding_results,dbt__products__similar_listings,t2,CoreML,snowflake
snowflake/dbt/products/similar_listings__listing_engagement,dbt__products__similar_listings,t1,CoreML,snowflake
snowflake/dbt/products/similar_listings__listing_engagement_all,dbt__products__similar_listings,t1,CoreML,snowflake
snowflake/dbt/products/similar_listings__listing_engagement_summary,dbt__products__similar_listings,t1,CoreML,snowflake
snowflake/dbt/products/similar_listings__listing_orders,dbt__products__similar_listings,t1,CoreML,snowflake
snowflake/dbt/products/similar_listings__listing_saves,dbt__products__similar_listings,t1,CoreML,snowflake
snowflake/dbt/products/similar_listings__listing_shares,dbt__products__similar_listings,t1,CoreML,snowflake
snowflake/dbt/products/similar_listings__listing_taps,dbt__products__similar_listings,t1,CoreML,snowflake
snowflake/dbt/products/similar_listings__listings_for_inference,dbt__products__similar_listings,t3,CoreML,snowflake
snowflake/dbt/products/similar_listings__personalized_similar_listing_imps,dbt__products__similar_listings,t3,CoreML,snowflake
